duration,packets,bytes,cpacket_ronnections,ate,byte_rate,protocol,src_ip,label
123,354,29792,8,90,3981,TCP,170.138.47.20,Normal
289,150,13812,7,35,778,HTTP,129.107.29.128,Normal
89,8760,340183,102,1534,15902,TCP,23.170.117.120,BruteForce
46,2065,20777,204,888,1614,TCP,32.226.153.247,PortScan
217,118,35658,7,21,4438,HTTP,55.149.31.22,Normal
51,1680,458374,178,1714,24965,TCP,63.15.125.248,BruteForce
4,42588,4194102,349,2792,859557,TCP,123.237.91.250,DDoS
37,3130,43533,76,243,1865,TCP,137.81.211.80,PortScan
48,3588,252917,118,150,28906,TCP,27.105.165.25,BruteForce
38,1371,17180,400,989,6873,TCP,26.51.218.196,PortScan
68,7495,201981,20,1455,47273,TCP,1.223.62.18,BruteForce
58,3012,468138,57,1997,38275,TCP,199.172.48.208,BruteForce
290,350,2484,7,68,629,TCP,11.52.1.225,Normal
12,16173,1052125,942,7739,744344,UDP,228.29.255.72,DDoS
19,5298,2327721,964,7891,618557,TCP,46.12.127.190,DDoS
152,7151,343246,194,1966,25037,TCP,169.64.151.54,BruteForce
14,18943,4448727,750,6050,622350,TCP,234.8.95.239,DDoS
20,3944,13837,234,427,5469,TCP,26.244.253.141,PortScan
59,3444,5372,144,865,3747,TCP,7.67.92.147,PortScan
104,183,43971,5,26,4708,TCP,23.241.189.187,Normal
29,8486,256580,138,347,43284,TCP,136.182.91.34,BruteForce
241,147,38055,4,51,2241,UDP,111.106.66.241,Normal
95,9091,333403,74,1763,30468,TCP,65.8.248.235,BruteForce
66,8958,233714,32,1188,18361,TCP,150.126.202.15,BruteForce
76,436,49399,5,20,824,HTTP,146.13.230.23,Normal
19,42469,1042024,714,6653,106111,TCP,60.145.42.47,DDoS
41,1584,17790,334,376,6521,TCP,127.165.101.140,PortScan
104,7239,299772,46,241,46598,TCP,213.23.52.228,BruteForce
84,3683,249445,76,303,19328,TCP,69.245.177.81,BruteForce
199,217,5394,2,98,2371,HTTP,50.224.152.85,Normal
15,39144,3719683,891,5290,743606,UDP,197.151.205.241,DDoS
28,1737,5207,70,419,8209,TCP,87.85.193.225,PortScan
96,7930,317440,119,1652,31377,TCP,3.179.245.97,BruteForce
249,37,31860,6,58,122,TCP,42.161.123.66,Normal
46,3631,7270,404,473,8375,TCP,175.21.179.68,PortScan
37,4655,346367,144,789,36696,TCP,215.166.128.125,BruteForce
19,4273,11284,202,753,2990,TCP,67.57.246.154,PortScan
151,8084,455343,40,1150,39254,TCP,204.190.219.2,BruteForce
37,4263,195914,61,502,39557,TCP,102.250.161.29,BruteForce
3,45994,1046435,925,8665,706239,UDP,94.21.206.61,DDoS
78,3056,200272,146,141,11506,TCP,205.174.209.10,BruteForce
74,1283,121575,168,313,27096,TCP,129.78.255.241,BruteForce
75,8794,350568,62,1175,42282,TCP,230.138.28.59,BruteForce
13,27797,3074532,497,4426,730737,TCP,18.18.55.140,DDoS
6,10528,1107545,192,2862,972754,UDP,26.216.19.198,DDoS
32,5199,395159,92,398,16879,TCP,149.63.232.237,BruteForce
24,632,47538,314,745,6495,TCP,228.5.129.184,PortScan
93,6131,120713,128,1983,42423,TCP,30.7.173.176,BruteForce
65,6946,249063,174,812,43988,TCP,44.164.179.232,BruteForce
38,4682,24900,348,474,4927,TCP,106.199.63.185,PortScan
185,8975,365889,125,115,18677,TCP,239.196.169.179,BruteForce
7,17978,1513105,403,9091,234691,UDP,117.245.1.214,DDoS
130,8502,137492,139,1520,38048,TCP,183.9.83.51,BruteForce
7,33278,1797582,180,5831,361367,TCP,8.12.57.161,DDoS
162,345,41933,5,93,890,HTTP,22.156.107.22,Normal
18,34324,2416355,956,1762,174677,TCP,205.121.21.251,DDoS
43,8611,412013,167,928,12207,TCP,36.184.29.231,BruteForce
15,39366,2329191,694,2622,192122,UDP,44.234.172.122,DDoS
94,3472,76605,193,1616,38907,TCP,127.13.90.109,BruteForce
17,12545,1148927,557,6067,507849,UDP,88.129.200.127,DDoS
19,1919,13425,329,460,3740,TCP,72.14.213.56,PortScan
15,37079,1910759,916,7949,474742,UDP,84.126.11.47,DDoS
25,4594,27208,380,389,2078,TCP,23.27.130.126,PortScan
137,5083,196980,188,1177,26843,TCP,228.199.248.115,BruteForce
74,2290,146143,31,997,35699,TCP,94.179.252.197,BruteForce
13,15639,3472347,703,8277,167755,TCP,113.20.154.19,DDoS
38,4052,415099,163,332,38778,TCP,78.107.195.109,BruteForce
34,2400,20071,178,900,7119,TCP,200.172.134.6,PortScan
12,14120,3740371,101,2061,557593,TCP,79.122.84.178,DDoS
219,233,23485,10,57,2041,HTTP,180.226.168.207,Normal
183,484,6272,6,44,4925,TCP,240.112.133.150,Normal
57,1179,274138,153,1618,44590,TCP,168.42.243.183,BruteForce
194,5094,444970,127,548,37338,TCP,202.49.216.12,BruteForce
246,203,16986,6,37,3670,UDP,22.7.163.208,Normal
5,16439,4080357,111,6039,530557,UDP,182.204.230.99,DDoS
181,156,29075,8,74,4626,HTTP,4.187.230.195,Normal
57,4724,44197,438,784,9919,TCP,109.165.177.243,PortScan
129,451,20468,6,82,2972,TCP,179.91.151.255,Normal
16,27471,2095406,927,1195,751987,UDP,72.107.235.10,DDoS
6,37038,3860370,181,9373,934796,UDP,131.202.222.162,DDoS
31,2345,33847,72,516,8136,TCP,193.130.134.185,PortScan
95,195,40680,10,60,4923,HTTP,65.118.174.168,Normal
67,8832,413003,99,1649,35680,TCP,43.163.68.24,BruteForce
31,1500,21590,365,935,2747,TCP,127.68.189.39,PortScan
7,48317,3640334,854,3935,570585,UDP,206.14.47.166,DDoS
105,137,23461,3,12,2421,HTTP,206.82.225.193,Normal
5,35787,3110217,490,6998,935765,UDP,37.225.39.42,DDoS
2,7186,4638948,148,4292,269538,TCP,104.146.215.165,DDoS
129,345,20720,5,46,971,HTTP,31.104.223.32,Normal
1,22419,4809242,355,2924,104889,UDP,132.4.250.217,DDoS
188,4186,294385,148,207,40398,TCP,24.142.211.60,BruteForce
142,401,9728,10,42,4946,TCP,253.220.193.109,Normal
184,4734,156618,109,1274,35354,TCP,60.116.91.20,BruteForce
65,7820,256229,173,1588,25645,TCP,38.116.177.151,BruteForce
6,21034,3455927,877,2879,643940,TCP,190.108.167.180,DDoS
75,1289,156384,150,1478,25221,TCP,11.33.131.89,BruteForce
10,3556,10472,343,564,5452,TCP,29.45.153.199,PortScan
298,224,3076,10,50,4679,HTTP,247.116.65.45,Normal
25,4636,10252,345,880,8817,TCP,43.241.219.62,PortScan
29,1057,20927,196,337,9230,TCP,101.121.140.248,PortScan
8,12496,592002,166,2529,910504,TCP,7.103.252.124,DDoS
20,1493,38082,337,836,8730,TCP,4.135.77.1,PortScan
11,38570,1298057,423,3680,961801,UDP,187.85.120.13,DDoS
9,4384,5481,312,897,8594,TCP,144.76.5.191,PortScan
41,9888,267516,191,304,46883,TCP,144.98.147.108,BruteForce
280,378,33344,8,75,4452,UDP,84.54.93.18,Normal
41,7037,493430,79,750,23693,TCP,84.151.37.191,BruteForce
1,13906,3200611,297,1665,891467,UDP,89.80.249.80,DDoS
16,44946,4686204,154,5787,505581,TCP,128.203.112.17,DDoS
59,75,21011,3,89,373,UDP,232.116.170.14,Normal
50,2905,17176,133,382,9641,TCP,94.25.233.150,PortScan
276,448,36158,4,99,4106,TCP,5.235.181.65,Normal
48,2108,37251,442,684,9335,TCP,176.64.244.159,PortScan
14,25747,1353649,626,2413,617506,UDP,216.204.248.80,DDoS
126,9076,140069,164,1642,48732,TCP,79.57.134.75,BruteForce
39,4708,18595,200,957,8031,TCP,143.120.91.54,PortScan
7,2227,5521,156,955,5924,TCP,86.32.80.127,PortScan
95,55,43705,7,10,4638,HTTP,30.125.65.41,Normal
44,1690,34669,280,989,3533,TCP,8.115.18.196,PortScan
115,236,45250,7,99,4765,UDP,75.255.102.6,Normal
165,5902,357651,193,909,37879,TCP,154.31.76.121,BruteForce
2,7304,2810471,375,6689,819493,TCP,203.24.12.82,DDoS
17,18032,2186426,249,9895,534979,TCP,71.190.218.50,DDoS
200,405,43274,7,11,4971,UDP,201.168.158.249,Normal
20,22153,1574495,666,8480,714058,UDP,154.12.196.53,DDoS
128,244,48518,9,70,2248,TCP,17.251.1.66,Normal
32,3486,5540,469,436,2958,TCP,227.236.143.169,PortScan
147,2455,388090,53,271,37718,TCP,58.144.2.222,BruteForce
75,9322,465908,95,1248,30892,TCP,239.138.139.136,BruteForce
11,3261,21694,187,686,7791,TCP,193.61.213.78,PortScan
97,9581,149135,133,1338,20334,TCP,135.193.239.95,BruteForce
68,236,14191,3,69,2371,TCP,222.47.128.154,Normal
55,8218,77282,145,1625,19512,TCP,53.91.184.24,BruteForce
182,8300,294754,96,366,29097,TCP,99.211.154.127,BruteForce
78,3876,256747,98,1649,34341,TCP,101.250.245.49,BruteForce
1,47532,4801292,671,2223,544215,TCP,92.48.245.219,DDoS
36,3775,47816,388,688,5384,TCP,188.245.40.72,PortScan
8,2938,47875,424,861,2030,TCP,187.221.149.61,PortScan
246,34,43361,5,17,908,UDP,151.226.163.97,Normal
44,2053,47296,359,750,5807,TCP,189.160.118.159,PortScan
252,435,28484,2,51,4579,UDP,102.103.49.72,Normal
208,247,8810,7,10,3374,HTTP,236.89.247.98,Normal
99,426,5403,5,27,866,HTTP,180.190.204.247,Normal
34,4356,46028,280,725,9016,TCP,26.136.220.18,PortScan
34,3842,36301,402,916,5923,TCP,85.15.173.67,PortScan
53,3601,47991,251,719,2050,TCP,102.198.80.20,PortScan
68,4845,467382,141,1301,42811,TCP,5.100.208.98,BruteForce
138,6056,215548,100,466,45020,TCP,38.118.85.33,BruteForce
12,48115,2735501,567,6875,503402,UDP,100.118.43.116,DDoS
15,38136,3130054,791,2598,298813,UDP,61.123.242.146,DDoS
138,124,11640,6,24,1127,HTTP,146.72.67.240,Normal
279,186,1344,1,24,514,UDP,70.191.143.95,Normal
2,17923,1657670,599,9539,227762,UDP,82.46.189.171,DDoS
9,49536,2441739,526,2569,477879,UDP,95.41.52.128,DDoS
143,42,31120,9,64,722,UDP,129.25.24.60,Normal
70,51,5119,5,44,646,TCP,158.144.100.242,Normal
12,31944,1057478,538,2344,412171,UDP,31.10.47.57,DDoS
193,83,23942,7,21,2950,UDP,113.195.107.164,Normal
10,24648,3782348,391,3292,638508,UDP,192.153.165.31,DDoS
62,479,1284,6,80,2773,TCP,132.61.106.249,Normal
129,23,10924,7,42,2522,TCP,241.137.149.190,Normal
44,4346,28095,497,505,9917,TCP,197.131.169.167,PortScan
11,20137,4551611,745,2940,668826,UDP,235.58.195.122,DDoS
159,23,19800,3,55,2528,TCP,100.205.85.218,Normal
19,35371,1312047,512,5687,186811,TCP,183.32.139.139,DDoS
12,34355,1747503,393,2266,103920,TCP,19.33.222.55,DDoS
4,29757,4611320,793,8279,424429,UDP,21.84.27.161,DDoS
4,8874,863851,792,5236,810654,UDP,237.184.62.19,DDoS
69,101,43041,2,44,3941,HTTP,152.81.46.19,Normal
6,3268,35728,123,427,9663,TCP,126.225.2.241,PortScan
14,4362,36365,361,813,9081,TCP,179.1.80.47,PortScan
128,286,45803,6,94,4195,UDP,10.121.194.154,Normal
27,1595,17881,287,584,1040,TCP,158.211.172.50,PortScan
202,284,17954,4,30,934,HTTP,223.180.61.50,Normal
83,7155,242598,41,1721,26738,TCP,145.193.221.64,BruteForce
3,42411,1595880,803,5842,127478,TCP,64.243.74.181,DDoS
98,7322,268198,109,353,10425,TCP,56.107.44.161,BruteForce
123,361,23147,1,96,807,HTTP,28.113.143.23,Normal
60,3567,15896,216,318,4565,TCP,6.88.200.250,PortScan
11,16572,3346220,389,4158,282451,TCP,34.5.166.16,DDoS
123,308,38365,1,45,2023,HTTP,212.155.233.163,Normal
18,6984,1630971,687,3811,931960,TCP,191.218.248.143,DDoS
8,36961,2694111,399,2392,442868,UDP,119.189.110.3,DDoS
27,1524,46714,500,738,8646,TCP,51.232.85.240,PortScan
10,40218,4291478,223,7687,561295,UDP,208.6.174.98,DDoS
238,420,21825,8,81,191,TCP,29.142.189.49,Normal
256,316,4277,6,95,4889,UDP,56.125.245.106,Normal
274,286,41130,6,96,153,HTTP,120.97.75.208,Normal
13,26223,1771959,430,4339,887090,UDP,31.150.222.41,DDoS
170,2471,106246,93,721,38552,TCP,245.194.107.26,BruteForce
60,3456,6054,80,791,9680,TCP,198.176.243.53,PortScan
9,2561,16618,128,857,6021,TCP,134.244.149.238,PortScan
14,43355,4206089,668,2818,857745,UDP,217.2.249.156,DDoS
97,96,6904,8,88,4756,TCP,242.60.38.10,Normal
133,5445,123263,174,494,36188,TCP,216.111.163.206,BruteForce
31,1090,47104,233,587,3900,TCP,31.41.173.29,PortScan
217,435,3308,7,12,1593,HTTP,78.82.146.165,Normal
56,1707,49432,392,852,3597,TCP,251.166.63.115,PortScan
17,37400,2923349,814,7296,373388,TCP,235.222.239.166,DDoS
26,1047,21144,500,636,9632,TCP,218.114.106.217,PortScan
206,384,24405,6,38,2449,HTTP,215.86.87.241,Normal
59,96,11108,8,41,4156,TCP,32.113.56.85,Normal
18,1679,24167,229,759,9726,TCP,83.149.247.196,PortScan
48,4655,33727,384,250,1777,TCP,37.122.33.18,PortScan
47,1383,45750,244,302,5581,TCP,39.96.255.176,PortScan
110,7216,60915,129,824,44922,TCP,159.205.72.60,BruteForce
18,946,20734,223,233,6230,TCP,38.136.29.253,PortScan
122,3982,155533,198,1510,21563,TCP,183.212.132.215,BruteForce
14,24395,2370362,987,6447,674469,UDP,118.39.182.36,DDoS
19,48354,1164635,541,9783,427766,UDP,150.244.122.20,DDoS
15,33671,1700051,424,8250,824100,UDP,104.211.112.247,DDoS
13,1105,34714,335,665,7613,TCP,85.165.168.114,PortScan
56,1710,6603,78,440,4096,TCP,30.116.98.216,PortScan
43,1645,26266,218,879,3331,TCP,178.190.250.67,PortScan
2,10127,1391230,474,4752,534961,UDP,82.184.74.86,DDoS
89,5313,302577,90,1840,14988,TCP,183.96.224.10,BruteForce
38,2180,29582,133,989,8753,TCP,83.210.177.136,PortScan
33,4180,28457,437,982,2843,TCP,165.246.91.117,PortScan
16,8303,3624961,497,7909,979486,UDP,38.85.216.191,DDoS
42,2229,28869,424,233,9932,TCP,31.173.172.7,PortScan
26,4206,5014,324,722,9438,TCP,103.217.145.233,PortScan
110,3901,329974,126,1967,16542,TCP,75.109.58.82,BruteForce
4,25982,1853588,220,5630,864398,TCP,191.212.215.44,DDoS
54,2130,41742,365,307,8316,TCP,103.176.108.60,PortScan
39,3474,49278,204,394,2174,TCP,135.150.11.148,PortScan
19,34327,4011618,110,5410,548751,TCP,104.166.81.40,DDoS
41,4084,32548,389,590,8308,TCP,9.136.246.70,PortScan
56,499,12219,4,97,816,UDP,171.171.65.147,Normal
52,7467,69501,154,1356,21988,TCP,36.128.116.248,BruteForce
49,8903,285592,77,1045,47566,TCP,176.176.255.125,BruteForce
300,223,21175,3,13,849,UDP,185.90.171.119,Normal
47,570,20227,430,210,5241,TCP,29.187.22.41,PortScan
22,2324,20624,315,987,1146,TCP,43.110.235.107,PortScan
17,15688,2418654,143,4113,590498,UDP,107.170.29.161,DDoS
43,1426,29211,224,834,1725,TCP,197.71.146.178,PortScan
129,8107,261642,186,571,22983,TCP,240.53.203.122,BruteForce
22,3002,15236,139,941,6060,TCP,251.9.136.121,PortScan
17,4090,31243,404,953,1728,TCP,177.124.38.117,PortScan
55,4748,5981,339,882,3508,TCP,254.222.114.250,PortScan
14,47965,4819235,196,1635,862395,UDP,65.53.34.111,DDoS
179,9946,412433,82,1685,30367,TCP,120.80.119.115,BruteForce
55,4092,49165,271,537,5419,TCP,76.136.69.142,PortScan
107,200,17023,6,50,4351,TCP,153.188.120.131,Normal
10,5171,2641318,737,2544,175945,UDP,144.148.210.74,DDoS
15,722,20508,192,758,6815,TCP,198.1.185.243,PortScan
43,3513,35574,122,697,4077,TCP,147.177.161.75,PortScan
45,2796,17975,446,807,9614,TCP,229.55.108.140,PortScan
15,5609,578541,664,8299,803281,TCP,206.27.101.110,DDoS
21,1861,11498,218,721,9265,TCP,221.123.175.238,PortScan
9,4730,24830,473,329,6699,TCP,83.246.232.133,PortScan
19,35115,1542164,201,6998,520705,TCP,149.1.195.47,DDoS
43,3613,10556,183,473,2140,TCP,100.245.65.197,PortScan
27,1311,235002,31,788,49644,TCP,211.77.231.157,BruteForce
15,43231,3085405,440,1315,512726,UDP,168.131.138.72,DDoS
41,4927,49258,159,483,5208,TCP,151.1.185.203,PortScan
120,386,21682,8,71,2420,TCP,32.132.114.16,Normal
42,2782,5428,192,970,1784,TCP,127.243.211.57,PortScan
184,214,43605,8,77,4295,HTTP,197.135.245.187,Normal
82,178,10002,4,36,4692,HTTP,66.200.8.48,Normal
154,4707,364445,81,634,24848,TCP,65.189.185.56,BruteForce
12,28694,4008733,603,2968,747822,TCP,63.201.237.67,DDoS
56,4879,45102,331,361,5511,TCP,135.83.201.114,PortScan
162,399,13476,5,50,4572,HTTP,53.16.109.103,Normal
1,35576,3333214,663,9645,494704,UDP,199.255.80.175,DDoS
3,28267,3343084,465,2168,483322,UDP,143.146.19.172,DDoS
57,7057,170197,74,1106,16636,TCP,173.121.250.84,BruteForce
148,6742,133694,139,1001,28821,TCP,4.218.101.160,BruteForce
122,365,40924,9,49,3167,UDP,253.217.194.11,Normal
8,2153,45928,125,558,2598,TCP,80.157.90.168,PortScan
261,248,2633,5,50,588,HTTP,25.174.74.15,Normal
7,36945,3506895,332,5885,860466,UDP,157.47.225.122,DDoS
6,46443,1893557,988,6839,681332,UDP,22.207.88.255,DDoS
16,45613,3475692,523,5242,112198,TCP,48.245.95.164,DDoS
159,4571,268620,180,386,36559,TCP,236.30.165.113,BruteForce
178,43,37691,1,69,3871,HTTP,147.140.168.220,Normal
182,325,13872,4,47,419,TCP,93.253.201.152,Normal
96,439,33636,1,37,1724,UDP,55.85.34.88,Normal
156,403,39014,5,56,568,UDP,137.245.134.102,Normal
88,6961,183267,184,163,27592,TCP,237.210.228.208,BruteForce
11,7655,4482259,457,4932,276379,UDP,12.15.9.236,DDoS
2,5368,560191,740,3999,735599,UDP,42.146.111.67,DDoS
40,1917,22249,407,558,6454,TCP,103.215.141.159,PortScan
111,184,11976,6,30,1795,HTTP,216.212.244.232,Normal
267,233,34362,3,34,934,UDP,89.255.91.155,Normal
3,9265,3841488,895,3054,704746,TCP,160.117.104.172,DDoS
30,4419,40258,372,754,7834,TCP,74.48.56.77,PortScan
71,460,31538,10,39,3333,UDP,17.69.6.45,Normal
16,16786,4839988,159,2463,782083,TCP,233.37.50.242,DDoS
41,2324,10560,422,570,6569,TCP,165.87.154.214,PortScan
42,2540,24009,96,632,9267,TCP,231.42.126.21,PortScan
115,40,42698,4,72,1559,TCP,204.169.160.86,Normal
6,37912,4412381,567,6893,591341,UDP,252.198.101.201,DDoS
212,375,40234,2,76,1480,UDP,239.31.138.107,Normal
156,4787,355161,49,1302,27630,TCP,207.68.109.141,BruteForce
177,5274,68349,189,1635,18240,TCP,144.98.44.232,BruteForce
98,328,7036,1,47,404,TCP,205.214.150.81,Normal
166,6907,201960,136,439,13004,TCP,178.192.241.252,BruteForce
224,495,27882,5,16,1856,UDP,34.190.209.224,Normal
119,1157,161060,52,1952,16196,TCP,146.112.26.196,BruteForce
23,1911,45078,314,556,6931,TCP,243.203.98.82,PortScan
19,3136,37457,441,984,8706,TCP,255.63.131.121,PortScan
31,6608,318205,58,305,10961,TCP,9.144.242.127,BruteForce
39,4357,8918,281,487,8670,TCP,225.54.76.34,PortScan
98,4079,113817,170,1520,47053,TCP,42.186.145.218,BruteForce
142,53,20838,2,32,1495,UDP,17.255.247.149,Normal
11,1536,26904,71,562,9475,TCP,155.32.16.153,PortScan
9,48994,3202059,713,5375,523938,UDP,137.53.145.248,DDoS
155,59,12282,1,16,857,UDP,70.78.222.13,Normal
91,5369,422277,91,1043,33685,TCP,53.35.39.76,BruteForce
93,8322,118839,181,575,30628,TCP,65.96.107.119,BruteForce
18,3172,44548,155,964,7899,TCP,210.18.67.94,PortScan
13,4635,39528,392,874,6505,TCP,207.125.196.177,PortScan
202,466,35278,7,22,482,HTTP,34.102.130.126,Normal
10,3270,48416,74,492,3112,TCP,198.224.91.117,PortScan
18,7197,1049638,737,1279,364198,TCP,89.150.55.144,DDoS
282,89,45185,4,31,3769,TCP,155.164.23.6,Normal
205,475,13970,6,14,4586,HTTP,216.57.85.50,Normal
174,3674,165405,39,1075,31802,TCP,63.64.55.81,BruteForce
159,209,20645,6,23,1227,TCP,248.212.30.20,Normal
157,3487,492516,180,897,41160,TCP,170.183.186.241,BruteForce
170,1812,407633,194,1629,25668,TCP,188.211.125.97,BruteForce
69,7317,456819,117,427,38178,TCP,14.31.71.130,BruteForce
132,118,19703,7,45,3510,TCP,173.57.61.190,Normal
7,27242,3689469,579,1260,961557,TCP,188.42.99.236,DDoS
152,6501,124027,191,1635,47267,TCP,103.132.176.32,BruteForce
46,4499,25525,92,378,2154,TCP,236.23.213.127,PortScan
162,3878,119167,72,387,42362,TCP,9.191.189.151,BruteForce
11,2381,32339,463,381,3151,TCP,58.162.192.216,PortScan
199,2122,405424,64,1185,19790,TCP,122.198.87.80,BruteForce
171,5649,192663,165,540,32492,TCP,89.36.96.196,BruteForce
219,81,6497,3,81,4960,UDP,54.19.232.226,Normal
38,4544,7408,444,339,2346,TCP,12.151.89.19,PortScan
236,190,39809,4,99,3971,UDP,211.253.24.115,Normal
189,3656,69784,46,1711,43751,TCP,65.120.47.25,BruteForce
94,360,36531,2,36,4560,TCP,123.62.92.169,Normal
21,3804,31748,300,314,6122,TCP,219.68.147.172,PortScan
213,144,9611,8,80,4407,UDP,210.79.56.136,Normal
34,2299,24538,156,433,4125,TCP,168.253.220.35,PortScan
236,95,28597,5,17,3876,TCP,11.52.75.193,Normal
89,435,27079,2,18,1537,TCP,102.104.19.61,Normal
11,40002,1964324,989,4031,298954,TCP,38.255.127.244,DDoS
23,2654,16145,399,560,9484,TCP,109.255.199.90,PortScan
17,44108,4664018,920,8325,763566,TCP,39.153.141.137,DDoS
10,43715,4888335,287,5970,489523,TCP,9.118.209.103,DDoS
183,47,3364,1,58,3300,HTTP,163.46.35.205,Normal
264,354,35454,1,71,1242,HTTP,222.148.24.242,Normal
65,3294,158167,195,466,24296,TCP,217.129.176.182,BruteForce
76,8650,214518,78,824,41585,TCP,166.91.228.163,BruteForce
16,43034,4758770,940,9816,762014,UDP,239.242.49.230,DDoS
110,2224,471145,183,467,45905,TCP,162.3.54.178,BruteForce
48,1481,13942,217,275,1411,TCP,94.70.218.51,PortScan
4,20474,1181066,553,8668,836777,TCP,49.178.122.146,DDoS
9,2191,46077,204,655,3630,TCP,77.253.90.27,PortScan
10,14907,4041687,836,3583,585344,TCP,158.87.175.159,DDoS
242,439,20864,4,19,1712,HTTP,196.88.113.43,Normal
127,6498,148244,134,418,13122,TCP,175.123.45.142,BruteForce
19,45773,4801780,878,2080,788184,TCP,72.131.205.255,DDoS
64,6721,130895,93,1117,46086,TCP,160.245.38.84,BruteForce
15,3724,12035,92,560,8035,TCP,66.144.199.39,PortScan
49,2476,11446,473,386,8155,TCP,188.118.14.180,PortScan
87,434,27782,7,90,2899,TCP,85.91.13.119,Normal
3,33035,4591864,288,6728,240433,TCP,218.252.136.208,DDoS
173,66,5688,3,89,4745,TCP,253.209.227.133,Normal
5,15394,4004952,903,6496,190260,UDP,37.146.224.58,DDoS
125,5919,277264,53,1956,45831,TCP,201.59.246.12,BruteForce
172,3630,430923,56,979,25269,TCP,18.84.47.222,BruteForce
97,320,16791,8,63,2988,UDP,33.69.96.151,Normal
187,8678,376620,35,1333,24567,TCP,118.183.74.52,BruteForce
152,429,47027,6,97,1368,UDP,49.113.53.43,Normal
113,4998,411192,169,116,45049,TCP,173.115.239.152,BruteForce
91,495,18638,4,75,3716,HTTP,224.225.158.35,Normal
107,8583,275748,37,1019,28368,TCP,63.89.138.199,BruteForce
250,39,19040,7,64,100,HTTP,194.125.59.86,Normal
53,4099,14626,266,245,1989,TCP,165.176.165.53,PortScan
50,1045,22941,161,676,9335,TCP,145.124.17.226,PortScan
14,42293,3789399,539,3478,232845,UDP,197.231.38.41,DDoS
100,457,49672,1,18,1308,UDP,97.123.248.249,Normal
108,103,13880,3,23,4861,UDP,26.216.155.152,Normal
31,1873,41514,291,734,2614,TCP,133.11.25.7,PortScan
145,138,21633,3,57,4169,HTTP,41.43.58.35,Normal
3,26374,942764,519,1400,223506,TCP,21.136.32.73,DDoS
77,1307,425835,195,1167,16609,TCP,171.220.130.201,BruteForce
48,7200,377871,56,1881,47195,TCP,148.7.164.77,BruteForce
69,8882,285920,92,1797,44720,TCP,128.74.153.16,BruteForce
238,74,38133,6,72,4526,HTTP,136.189.108.242,Normal
11,20992,4879557,629,2305,843581,TCP,66.15.236.241,DDoS
81,4631,207564,173,1175,13119,TCP,192.56.126.163,BruteForce
